time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.021,0.022,0.02104761904761905,0.021,0.00021295885499997942,0.016,0.016,0.016000000000000004,0.016,3.469446951953614e-18,0.122,0.123,0.1226,0.123,0.0004898979485566361,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,0.046,0.047,0.04665000000000001,0.047,0.0004769696007084732,0.018000000000000002,0.019,0.018100000000000005,0.018000000000000002,0.0002999999999999992,0.241,0.241,0.24099999999999994,0.241,5.551115123125783e-17,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,0.112,0.112,0.11200000000000002,0.112,1.3877787807814457e-17,0.011,0.012,0.011750000000000002,0.012,0.0004330127018922198,32,32,4096,11008,32768,True,448,8
0.021,0.021,0.021000000000000005,0.021,3.469446951953614e-18,0.016,0.016,0.016000000000000004,0.016,3.469446951953614e-18,0.122,0.123,0.1222,0.122,0.0004000000000000003,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,0.046,0.047,0.04635000000000001,0.046,0.0004769696007084732,0.018000000000000002,0.018000000000000002,0.018000000000000006,0.018000000000000002,3.469446951953614e-18,0.241,0.241,0.24099999999999994,0.241,5.551115123125783e-17,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,0.112,0.112,0.11200000000000002,0.112,1.3877787807814457e-17,0.011,0.011,0.011000000000000001,0.011,1.734723475976807e-18,32,32,4096,11008,32768,True,440,8
0.021,0.021,0.021000000000000005,0.021,3.469446951953614e-18,0.016,0.016,0.016000000000000004,0.016,3.469446951953614e-18,0.122,0.123,0.12229999999999999,0.122,0.00045825756949558437,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,0.046,0.047,0.04640000000000001,0.046,0.0004898979485566361,0.017,0.017,0.017000000000000005,0.017,3.469446951953614e-18,0.241,0.241,0.24099999999999994,0.241,5.551115123125783e-17,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,0.112,0.112,0.11200000000000002,0.112,1.3877787807814457e-17,0.01,0.011,0.010850000000000002,0.011,0.00035707142142714224,32,32,4096,11008,32768,True,432,8
0.02,0.02,0.020000000000000004,0.02,3.469446951953614e-18,0.015,0.016,0.015850000000000003,0.016,0.00035707142142714284,0.122,0.123,0.12204999999999999,0.122,0.00021794494717703385,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,0.046,0.047,0.04630000000000001,0.046,0.0004582575694955844,0.017,0.017,0.017000000000000005,0.017,3.469446951953614e-18,0.241,0.241,0.24099999999999994,0.241,5.551115123125783e-17,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,0.112,0.112,0.11200000000000002,0.112,1.3877787807814457e-17,0.01,0.011,0.010900000000000002,0.011,0.00029999999999999976,32,32,4096,11008,32768,True,424,8
0.02,0.02,0.020000000000000004,0.02,3.469446951953614e-18,0.015,0.016,0.015950000000000002,0.016,0.00021794494717703385,0.122,0.123,0.12204999999999999,0.122,0.00021794494717703385,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,0.046,0.047,0.046250000000000006,0.046,0.00043301270189221973,0.016,0.017,0.016150000000000005,0.016,0.00035707142142714284,0.241,0.241,0.24099999999999994,0.241,5.551115123125783e-17,0.007,0.007,0.007000000000000001,0.007,8.673617379884035e-19,0.112,0.112,0.11200000000000002,0.112,1.3877787807814457e-17,0.01,0.011,0.010100000000000001,0.01,0.00029999999999999976,32,32,4096,11008,32768,True,416,8
0.019,0.02,0.01985714285714286,0.02,0.00034992710611188294,0.013000000000000001,0.014,0.013800000000000003,0.014,0.0003999999999999997,0.122,0.123,0.12204999999999999,0.122,0.00021794494717703385,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,0.046,0.047,0.04605000000000001,0.046,0.00021794494717703385,0.014,0.014,0.014000000000000002,0.014,1.734723475976807e-18,0.241,0.241,0.24099999999999994,0.241,5.551115123125783e-17,0.006,0.006,0.006000000000000001,0.006,8.673617379884035e-19,0.112,0.112,0.11200000000000002,0.112,1.3877787807814457e-17,0.009000000000000001,0.01,0.009900000000000003,0.01,0.00029999999999999976,32,32,4096,11008,32768,True,408,8
0.019,0.019,0.019000000000000003,0.019,3.469446951953614e-18,0.013000000000000001,0.014,0.013050000000000003,0.013000000000000001,0.00021794494717703353,0.122,0.123,0.12209999999999999,0.122,0.00030000000000000024,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,0.046,0.047,0.04605000000000001,0.046,0.00021794494717703385,0.014,0.014,0.014000000000000002,0.014,1.734723475976807e-18,0.241,0.241,0.24099999999999994,0.241,5.551115123125783e-17,0.006,0.006,0.006000000000000001,0.006,8.673617379884035e-19,0.112,0.112,0.11200000000000002,0.112,1.3877787807814457e-17,0.009000000000000001,0.01,0.009750000000000003,0.01,0.00043301270189221897,32,32,4096,11008,32768,True,400,8
0.019,0.019,0.019000000000000003,0.019,3.469446951953614e-18,0.013000000000000001,0.013000000000000001,0.013000000000000003,0.013000000000000001,1.734723475976807e-18,0.122,0.123,0.12204999999999996,0.122,0.00021794494717703388,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,0.046,0.046,0.046000000000000006,0.046,6.938893903907228e-18,0.014,0.014,0.014000000000000002,0.014,1.734723475976807e-18,0.241,0.241,0.24099999999999994,0.241,5.551115123125783e-17,0.006,0.006,0.006000000000000001,0.006,8.673617379884035e-19,0.112,0.112,0.11200000000000002,0.112,1.3877787807814457e-17,0.009000000000000001,0.01,0.009200000000000003,0.009000000000000001,0.0003999999999999997,32,32,4096,11008,32768,True,392,8
0.018000000000000002,0.018000000000000002,0.018000000000000006,0.018000000000000002,3.469446951953614e-18,0.013000000000000001,0.013000000000000001,0.013000000000000003,0.013000000000000001,1.734723475976807e-18,0.12,0.12,0.12000000000000002,0.12,2.7755575615628914e-17,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,0.036000000000000004,0.036000000000000004,0.03600000000000001,0.036000000000000004,6.938893903907228e-18,0.013000000000000001,0.014,0.013050000000000003,0.013000000000000001,0.00021794494717703353,0.163,0.164,0.16329999999999995,0.163,0.0004582575694955844,0.006,0.007,0.0062000000000000015,0.006,0.0004,0.084,0.085,0.08435000000000001,0.084,0.00047696960070847325,0.008,0.009000000000000001,0.008850000000000002,0.009000000000000001,0.0003570714214271428,32,32,4096,11008,32768,True,384,8
0.018000000000000002,0.019,0.018047619047619052,0.018000000000000002,0.00021295885499997942,0.013000000000000001,0.013000000000000001,0.013000000000000003,0.013000000000000001,1.734723475976807e-18,0.12,0.12,0.12000000000000002,0.12,2.7755575615628914e-17,0.003,0.003,0.0030000000000000005,0.003,4.336808689942018e-19,0.036000000000000004,0.036000000000000004,0.03600000000000001,0.036000000000000004,6.938893903907228e-18,0.013000000000000001,0.013000000000000001,0.013000000000000003,0.013000000000000001,1.734723475976807e-18,0.163,0.164,0.16334999999999997,0.163,0.00047696960070847325,0.006,0.006,0.006000000000000001,0.006,8.673617379884035e-19,0.084,0.085,0.08405000000000003,0.084,0.00021794494717703385,0.008,0.009000000000000001,0.008350000000000002,0.008,0.00047696960070847325,32,32,4096,11008,32768,True,376,8
